ro,en
director,director
ucis-o,killed
nenorocitul,wretched
bilet,ticket
naştere,birth
copilului,baby
relaţia,the relationship
prefera,prefer
cumpăra,buy
camere,rooms
scaun,seat
recent,recently
spart,broken
suport,support
excepţia,except
fred,Fred
iubitul,boyfriend
discuta,talk
opreşti,stop
târfă,slut
descurcat,done
imagina,imagine
arde,burn
închid,close
capabil,able
suspect,suspect
adio,Farewell
profesorul,teacher
serie,series
monstru,monster
obişnuit,normal
lipsa,lack
jackson,Jackson
voce,voice
anglia,England
plajă,Beach
încercând,trying
locotenent,lieutenant
raport,report
